date,dcoilwtico
1/1/2013,93.14
1/2/2013,92.97
1/3/2013,93.12
1/4/2013,93.2
1/7/2013,93.21
1/8/2013,93.08
1/9/2013,93.81
1/10/2013,93.6
1/11/2013,94.27
1/14/2013,93.26
1/15/2013,94.28
1/16/2013,95.49
1/17/2013,95.61
1/18/2013,96.09
1/21/2013,95.06
1/22/2013,95.35
1/23/2013,95.15
1/24/2013,95.95
1/25/2013,97.62
1/28/2013,97.98
1/29/2013,97.65
1/30/2013,97.46
1/31/2013,96.21
2/1/2013,96.68
2/4/2013,96.44
2/5/2013,95.84
2/6/2013,95.71
2/7/2013,97.01
2/8/2013,97.48
2/11/2013,97.03
2/12/2013,97.3
2/13/2013,95.95
2/14/2013,96.69
2/15/2013,94.92
2/18/2013,92.79
2/19/2013,93.12
2/20/2013,92.74
2/21/2013,92.63
2/22/2013,92.84
2/25/2013,92.03
2/26/2013,90.71
2/27/2013,90.13
2/28/2013,90.88
3/1/2013,90.47
3/4/2013,91.53
3/5/2013,92.01
3/6/2013,92.07
3/7/2013,92.44
3/8/2013,92.47
3/11/2013,93.03
3/12/2013,93.49
3/13/2013,93.71
3/14/2013,92.44
3/15/2013,93.21
3/18/2013,92.46
3/19/2013,93.41
3/20/2013,94.55
3/21/2013,95.99
3/22/2013,96.53
3/25/2013,97.24
3/26/2013,97.1
3/27/2013,97.23
3/28/2013,95.02
3/29/2013,93.26
4/1/2013,92.76
4/2/2013,93.36
4/3/2013,94.18
4/4/2013,94.59
4/5/2013,93.44
4/8/2013,91.23
4/9/2013,88.75
4/10/2013,88.73
4/11/2013,86.65
4/12/2013,87.83
4/15/2013,88.04
4/16/2013,88.81
4/17/2013,89.21
4/18/2013,91.07
4/19/2013,93.27
4/22/2013,92.63
4/23/2013,94.09
4/24/2013,93.22
4/25/2013,90.74
4/26/2013,93.7
4/29/2013,95.25
4/30/2013,95.8
5/1/2013,95.28
5/2/2013,96.24
5/3/2013,96.09
5/6/2013,95.81
5/7/2013,94.76
5/8/2013,93.96
5/9/2013,93.95
5/10/2013,94.85
5/13/2013,95.72
5/14/2013,96.29
5/15/2013,95.55
5/16/2013,93.98
5/17/2013,94.12
5/20/2013,93.84
5/21/2013,94.65
5/22/2013,93.13
5/23/2013,93.57
5/24/2013,91.93
5/27/2013,93.41
5/28/2013,93.36
5/29/2013,93.66
5/30/2013,94.71
5/31/2013,96.11
6/3/2013,95.82
6/4/2013,95.5
6/5/2013,95.98
6/6/2013,96.66
6/7/2013,97.83
6/10/2013,97.86
6/11/2013,98.46
6/12/2013,98.24
6/13/2013,94.89
6/14/2013,93.81
6/17/2013,95.07
6/18/2013,95.25
6/19/2013,95.47
6/20/2013,97
6/21/2013,96.36
6/24/2013,97.94
6/25/2013,99.65
6/26/2013,101.92
6/27/2013,103.09
6/28/2013,103.03
7/1/2013,103.46
7/2/2013,106.41
7/3/2013,104.77
7/4/2013,105.85
7/5/2013,106.2
7/8/2013,105.88
7/9/2013,106.39
7/10/2013,107.94
7/11/2013,108
7/12/2013,106.61
7/15/2013,107.13
7/16/2013,105.41
7/17/2013,105.47
7/18/2013,104.76
7/19/2013,104.61
7/22/2013,103.14
7/23/2013,105.1
7/24/2013,107.93
7/25/2013,106.94
7/26/2013,106.61
7/29/2013,105.32
7/30/2013,104.41
7/31/2013,103.45
8/1/2013,106.04
8/2/2013,106.19
8/5/2013,106.78
8/6/2013,106.89
8/7/2013,107.43
8/8/2013,107.58
8/9/2013,107.14
8/12/2013,104.9
8/13/2013,103.93
8/14/2013,104.93
8/15/2013,106.48
8/16/2013,105.88
8/19/2013,109.11
8/20/2013,110.17
8/21/2013,108.51
8/22/2013,107.98
8/23/2013,108.67
8/26/2013,107.29
8/27/2013,108.5
8/28/2013,110.62
8/29/2013,109.62
8/30/2013,107.48
9/2/2013,107.65
9/3/2013,108.72
9/4/2013,108.31
9/5/2013,106.54
9/6/2013,105.36
9/9/2013,108.23
9/10/2013,106.26
9/11/2013,104.7
9/12/2013,103.62
9/13/2013,103.22
9/16/2013,102.68
9/17/2013,103.1
9/18/2013,102.86
9/19/2013,102.36
9/20/2013,102.09
9/23/2013,104.15
9/24/2013,103.29
9/25/2013,103.83
9/26/2013,103.07
9/27/2013,103.54
9/30/2013,101.63
10/1/2013,103.08
10/2/2013,102.17
10/3/2013,102.46
10/4/2013,101.15
10/7/2013,102.34
10/8/2013,100.72
10/9/2013,100.87
10/10/2013,99.28
10/11/2013,97.63
10/14/2013,96.9
10/15/2013,96.65
10/16/2013,97.4
10/17/2013,98.74
10/18/2013,98.29
10/21/2013,96.81
10/22/2013,96.29
10/23/2013,94.56
10/24/2013,94.58
10/25/2013,93.4
10/28/2013,94.74
10/29/2013,94.25
10/30/2013,94.56
10/31/2013,95.13
11/1/2013,93.12
11/4/2013,93.91
11/5/2013,93.76
11/6/2013,93.8
11/7/2013,93.03
11/8/2013,93.35
11/11/2013,93.34
11/12/2013,95.35
11/13/2013,94.53
11/14/2013,93.86
11/15/2013,93.41
11/18/2013,92.05
11/19/2013,92.55
11/20/2013,93.61
11/21/2013,95.83
11/22/2013,96.97
11/25/2013,97.14
11/26/2013,97.48
11/27/2013,97.1
11/28/2013,98.32
11/29/2013,97.25
12/2/2013,97.21
12/3/2013,96.27
12/4/2013,97.18
12/5/2013,96.99
12/6/2013,97.59
12/9/2013,98.4
12/10/2013,99.11
12/11/2013,98.62
12/12/2013,98.87
12/13/2013,99.18
12/16/2013,99.94
12/17/2013,98.9
12/18/2013,98.17
12/19/2013,95.14
12/20/2013,93.66
12/23/2013,93.12
12/24/2013,93.31
12/25/2013,91.9
12/26/2013,91.36
12/27/2013,92.39
12/30/2013,91.45
12/31/2013,92.15
1/1/2014,93.78
1/2/2014,93.54
1/3/2014,93.96
1/6/2014,94.51
1/7/2014,96.35
1/8/2014,97.23
1/9/2014,96.66
1/10/2014,95.82
1/13/2014,97.49
1/14/2014,97.34
1/15/2014,98.25
1/16/2014,97.55
1/17/2014,96.44
1/20/2014,97.24
1/21/2014,97.4
1/22/2014,97.84
1/23/2014,99.98
1/24/2014,100.12
1/27/2014,99.96
1/28/2014,100.38
1/29/2014,100.27
1/30/2014,100.31
1/31/2014,102.54
2/3/2014,103.46
2/4/2014,103.2
2/5/2014,102.53
2/6/2014,103.17
2/7/2014,102.2
2/10/2014,102.93
2/11/2014,102.68
2/12/2014,102.88
2/13/2014,105.34
2/14/2014,103.64
2/17/2014,101.75
2/18/2014,101.82
2/19/2014,102.82
2/20/2014,101.39
2/21/2014,100.29
2/24/2014,98.29
2/25/2014,98.57
2/26/2014,99.23
2/27/2014,98.43
2/28/2014,100.08
3/3/2014,100.71
3/4/2014,99.68
3/5/2014,99.97
3/6/2014,100.05
3/7/2014,99.66
3/10/2014,100.61
3/11/2014,101.25
3/12/2014,101.73
3/13/2014,101.57
3/14/2014,99.69
3/17/2014,99.6
3/18/2014,100.29
3/19/2014,101.16
3/20/2014,100.43
3/21/2014,102.57
3/24/2014,103.55
3/25/2014,103.37
3/26/2014,103.68
3/27/2014,104.05
3/28/2014,103.7
3/31/2014,103.71
4/1/2014,104.33
4/2/2014,104.35
4/3/2014,101.69
4/4/2014,101.47
4/7/2014,102.2
4/8/2014,100.85
4/9/2014,101.13
4/10/2014,101.56
4/11/2014,100.07
4/14/2014,99.69
4/15/2014,100.09
4/16/2014,99.74
4/17/2014,99.81
4/18/2014,101.06
4/21/2014,100.52
4/22/2014,100.32
4/23/2014,100.89
4/24/2014,102.01
4/25/2014,102.63
4/28/2014,101.74
4/29/2014,102.31
4/30/2014,102.95
5/1/2014,102.8
5/2/2014,104.31
5/5/2014,104.03
5/6/2014,105.01
5/7/2014,104.78
5/8/2014,103.37
5/9/2014,104.26
5/12/2014,103.4
5/13/2014,103.07
5/14/2014,103.34
5/15/2014,103.27
5/16/2014,103.17
5/19/2014,103.32
5/20/2014,105.09
5/21/2014,105.02
5/22/2014,105.04
5/23/2014,107.2
5/26/2014,107.49
5/27/2014,107.52
5/28/2014,106.95
5/29/2014,106.64
5/30/2014,107.08
6/2/2014,107.95
6/3/2014,106.83
6/4/2014,106.64
6/5/2014,107.04
6/6/2014,106.49
6/9/2014,106.46
6/10/2014,106.07
6/11/2014,106.06
6/12/2014,105.18
6/13/2014,104.76
6/16/2014,104.19
6/17/2014,104.06
6/18/2014,102.93
6/19/2014,103.61
6/20/2014,101.48
6/23/2014,101.73
6/24/2014,100.56
6/25/2014,101.88
6/26/2014,103.84
6/27/2014,103.83
6/30/2014,105.34
7/1/2014,104.59
7/2/2014,103.81
7/3/2014,102.76
7/4/2014,105.23
7/7/2014,105.68
7/8/2014,104.91
7/9/2014,104.29
7/10/2014,98.23
7/11/2014,97.86
7/14/2014,98.26
7/15/2014,97.34
7/16/2014,96.93
7/17/2014,97.34
7/18/2014,97.61
7/21/2014,98.09
7/22/2014,97.36
7/23/2014,97.57
7/24/2014,95.54
7/25/2014,97.3
7/28/2014,96.44
7/29/2014,94.35
7/30/2014,96.4
7/31/2014,93.97
8/1/2014,93.61
8/4/2014,95.39
8/5/2014,95.78
8/6/2014,95.82
8/7/2014,96.44
8/8/2014,97.86
8/11/2014,92.92
8/12/2014,95.5
8/13/2014,94.51
8/14/2014,93.32
8/15/2014,92.64
8/18/2014,92.73
8/19/2014,91.71
8/20/2014,92.89
8/21/2014,92.18
8/22/2014,92.86
8/25/2014,94.91
8/26/2014,94.33
8/27/2014,93.07
8/28/2014,92.43
8/29/2014,91.46
9/1/2014,91.55
9/2/2014,93.6
9/3/2014,93.59
9/4/2014,95.55
9/5/2014,94.53
9/8/2014,91.17
9/9/2014,90.74
9/10/2014,91.02
9/11/2014,89.76
9/12/2014,90.33
9/15/2014,88.89
9/16/2014,87.29
9/17/2014,85.76
9/18/2014,85.87
9/19/2014,85.73
9/22/2014,81.72
9/23/2014,81.82
9/24/2014,82.33
9/25/2014,82.8
9/26/2014,82.76
9/29/2014,83.25
9/30/2014,80.52
10/1/2014,82.81
10/2/2014,81.27
10/3/2014,81.26
10/6/2014,81.36
10/7/2014,82.25
10/8/2014,81.06
10/9/2014,80.53
10/10/2014,78.77
10/13/2014,77.15
10/14/2014,78.71
